product_id,product_url,product_title,product_rating,nbr_reviews_sales,current_price,discount_percentage,old_price
4388013881,https://www.etsy.com/fr/listing/4388013881/sac-fourre-tout-brode-personnalise-en,Sac fourre-tout brodé personnalisé en toile de coton : cadeau de demoiselle d'honneur,4.9,6500,9.47,65.0,27.05
1488372102,https://www.etsy.com/fr/listing/1488372102/sac-fourre-tout-personnalise-en-coton,Sac fourre-tout personnalisé en coton noir avec fermeture à glissière : impression du logo personnalisé,4.9,1600,6.14,25.0,8.19
1827567494,https://www.etsy.com/fr/listing/1827567494/cabas-personnalise-nounoutote-bag-super,Cabas personnalisé Nounou/tote bag super Nounou cœur terracotta /sac cabas nounou/sac nounou/cadeau noël nounou/fête des nounous/noël,4.8,147,,,
4374771805,https://www.etsy.com/fr/listing/4374771805/cabas-en-velours-cotele-brode,"Cabas en velours côtelé brodé personnalisé — cadeau de demoiselle d'honneur, sac fourre-tout avec nom personnalisé, indispensable de tous les jours et week-end, cadeau de Noël pour elle",4.9,12400,9.4,30.0,13.43
1818830105,https://www.etsy.com/fr/listing/1818830105/sac-personnalise-nounoutote-bag-super,sac  personnalisé Nounou/tote bag super Nounou cœur terracotta /sac cabas nounou/sac nounou/cadeau noël nounou/fête des nounous/noël,4.9,1100,,,
4328537522,https://www.etsy.com/fr/listing/4328537522/sac-fourre-tout-de-plage-personnalise,"Sac fourre-tout de plage personnalisé : filet de nylon résistant au sable, écusson en cuir",4.7,1100,2.89,50.0,5.78
1817786551,https://www.etsy.com/fr/listing/1817786551/sac-fourre-tout-personnalise-en-toile-de,"Sac fourre-tout personnalisé en toile de jute fleur de naissance, sac en toile de jute nom floral, sac fourre-tout de plage, cadeau de demoiselle d'honneur, cadeau d'anniversaire pour elle, cadeau de mariage",4.7,273,3.41,50.0,6.82
4364180655,https://www.etsy.com/fr/listing/4364180655/sac-fourre-tout-en-velours-cotele,"Sac fourre-tout en velours côtelé personnalisé, sac en velours côtelé personnalisé, fourre-tout indispensable au quotidien, sac à bandoulière de voyage, cadeaux de Noël personnalisés, cadeau pour elle",4.9,8100,11.8,30.0,16.86
1711792967,https://www.etsy.com/fr/listing/1711792967/sac-fourre-tout-drole-de-chat-sac-fourre,"Sac fourre-tout drôle de chat, sac fourre-tout chat, cadeau pour amoureux des chats, fourre-tout pour maman chat, sac fourre-tout mignon, sac en toile, sac esthétique, fourre-tout décontracté en toile, sac fourre-tout cadeau",4.8,1300,10.82,75.0,43.28
1485807411,https://www.etsy.com/fr/listing/1485807411/cabas-carre-grand-mere-cadeaux-style,"Cabas carré grand-mère, cadeaux style hiver, sac à poignée, sac fait main au crochet pour femme, cadeaux des soldes du vendredi noir",4.9,718,97.99,30.0,139.99
1768854811,https://www.etsy.com/fr/listing/1768854811/sac-fourre-tout-brode-personnalise,"Sac fourre-tout brodé personnalisé, cadeau de demoiselle d'honneur, cadeau personnalisé, sac de plage, sac monogramme, sac fourre-tout en toile, sac de demoiselle d'honneur, cadeau pour elle 24072703",4.8,2800,10.71,50.0,21.42
1864886162,https://www.etsy.com/fr/listing/1864886162/sac-a-bandouliere-en-cuir-vintage,Sac à bandoulière en cuir vintage : sacoche rustique avec bandoulière réglable,4.6,100,38.95,60.0,97.38
4298229658,https://www.etsy.com/fr/listing/4298229658/grand-sac-fourre-tout-en-denim-leger,Grand sac fourre-tout en denim léger patchwork Grand sac à main en jean Grand sac à main en jean personnalisé recyclé,5.0,114,80.34,25.0,107.11
1825286680,https://www.etsy.com/fr/listing/1825286680/sac-fourre-tout-en-velours-cotele-doux-a,"Sac fourre-tout en velours côtelé doux à double poche (marron foncé), sac à bandoulière pour femme, cadeau de rentrée, sac pour étudiant, fourre-tout pour livres de tous les jours",4.9,402,25.97,25.0,34.62
1712713774,https://www.etsy.com/fr/listing/1712713774/tote-bag-fleuri-sac-cabas-personnalise,tote bag fleuri /sac cabas personnalisé maîtresse/tote bag/sac personnalisable/sac de plage/cabas atsem/kit de survie cadeau noël  nounou,4.9,1100,,,
1738069757,https://www.etsy.com/fr/listing/1738069757/sac-fourre-tout-livre-personnalise-sac,"Sac fourre-tout livre personnalisé, sac fourre-tout personnalisé livresque, idée cadeau livresque, idée cadeau pour amoureux des livres, joli cartable, sac esthétique, fourre-tout décontracté en toile",4.8,1300,10.82,75.0,43.28
1582978202,https://www.etsy.com/fr/listing/1582978202/sac-fourre-tout-fleur-mois-de-naissance,"Sac fourre-tout fleur mois de naissance, sac fourre-tout en toile esthétique botanique, cadeau de mariée personnalisé, cadeau fourre-tout de demoiselle d'honneur, cadeau meilleur ami",4.9,378,,,
4295019247,https://www.etsy.com/fr/listing/4295019247/sac-fourre-tout-en-coton-uni-sac-en,"Sac fourre-tout en coton uni Sac en toile promotionnel personnalisé en vrac pour les entreprises, les événements et les mariages",5.0,72,6.42,25.0,8.57
1731834911,https://www.etsy.com/fr/listing/1731834911/sac-cabas-avec-initiales-brodees-cabas,Sac cabas avec initiales brodées : cabas personnalisé en toile de coton bio,4.8,30500,9.83,25.0,13.11
1820041810,https://www.etsy.com/fr/listing/1820041810/cabas-personnalise-mamietote-bag-super,Cabas personnalisé mamie/tote bag super mamie cœur rouge/sac cabas mamie/sac mamie/cadeau noël mamie/fête des mamies/noël,4.8,147,,,
1778506220,https://www.etsy.com/fr/listing/1778506220/joli-sac-de-lautomne-sac-fourre-tout-de,"Joli sac de l'automne, sac fourre-tout de la saison des citrouilles, sac fourre-tout livresques, sacs fourre-tout mignons, cadeau floral, sac fourre-tout mignon, idée cadeau personnalisé pour les amoureux de l'automne",4.8,1300,7.23,75.0,28.94
1693590085,https://www.etsy.com/fr/listing/1693590085/sac-fourre-tout-a-fleurs-noir-sac-fourre,Sac fourre-tout à fleurs noir - Sac fourre-tout noir - Sac à bandoulière noir Fleurs - Sac de fleurs sauvages - Mini sac fourre-tout - Sac moyen - Grand sac fourre-tout Fleurs,4.8,19,23.1,30.0,33.0
825613481,https://www.etsy.com/fr/listing/825613481/sac-fourre-tout-reversible-en-lin-miel,Sac fourre-tout réversible en lin miel pour les jours de marché | Broderie en option,4.8,3500,42.3,55.0,94.0
982820751,https://www.etsy.com/fr/listing/982820751/fourre-tout-market-en-toile-personnalise,Fourre-tout Market en toile personnalisé | fourre-tout en toile à monogramme | Toile de coton et cuir pleine fleur | Sac de voyage en toile réutilisable | Fabriqué aux États-Unis,4.9,32600,41.91,25.0,55.88
1289965137,https://www.etsy.com/fr/listing/1289965137/tote-bag-prenom-personnalise-ideal-pour,Tote Bag Prénom Personnalisé - Idéal pour Cadeaux !,5.0,370,,,
4390733252,https://www.etsy.com/fr/listing/4390733252/sac-cabas-velours-tote-bag-vieux-rose,Sac cabas velours Tote bag vieux rose,4.8,157,46.75,15.0,55.0
4393269690,https://www.etsy.com/fr/listing/4393269690/sac-fourre-tout-design-en-velours-cotele,Sac fourre-tout design en velours côtelé premium - Sac fourre-tout en tissu de coton texturé café - Grande taille avec poche intérieure - Cadeau parfait pour elle,4.9,47,25.71,65.0,73.46
1718157962,https://www.etsy.com/fr/listing/1718157962/cabas-brode-avec-initiales-cabas-de,Cabas brodé avec initiales : cabas de plage surdimensionné en toile de coton bio,4.8,30500,15.64,25.0,20.86
4391147678,https://www.etsy.com/fr/listing/4391147678/sac-personnalise-en-velours-cotele-sac-a,"Sac personnalisé en velours côtelé, sac à bandoulière brodé, cadeaux de jeune fille, sacs fourre-tout de demoiselle d'honneur, sac monogramme personnalisé blanc 25102302",4.9,1000,10.73,60.0,26.82
1077843136,https://www.etsy.com/fr/listing/1077843136/cabas-avec-fleurs-brodees-o-fermeture,Cabas avec fleurs brodées | Fermeture éclair et poches intérieures | Sac fourre-tout de demoiselle d'honneur | Mariage | cadeau pour elle | Cadeau des Fêtes | Noir et blanc,5.0,6400,10.82,30.0,15.46
1818475771,https://www.etsy.com/fr/listing/1818475771/cabas-personnalise-nounoutote-bag-super,Cabas personnalisé Nounou/tote bag super Nounou cœur terracotta /sac cabas nounou/sac nounou/cadeau noël nounou/fête des nounous/noël,4.9,1100,,,
4367415140,https://www.etsy.com/fr/listing/4367415140/sac-fourre-tout-en-nylon-matelasse-brode,Sac fourre-tout en nylon matelassé brodé personnalisé Grand sac à bandoulière personnalisé pour femme Cadeau pour elle,4.8,25,14.86,70.0,49.53
4343229007,https://www.etsy.com/fr/listing/4343229007/tote-bag-en-coton-personnalisable-cadeau,"Tote Bag en Coton Personnalisable - Cadeau Unique, Éco-Friendly et Réutilisable, Modèle Véhicules Alpha",4.9,16700,,,
1437884426,https://www.etsy.com/fr/listing/1437884426/sac-en-cuir-sac-a-main-en-cuir-souple,Sac en cuir Sac à main en cuir souple Sac hobo en cuir tressé Sac à dos tressé Sac à dos,4.9,2800,198.0,25.0,264.0
1781537878,https://www.etsy.com/fr/listing/1781537878/sac-fourre-tout-en-tissu-kente-sac,Sac fourre-tout en tissu Kente Sac héritage africain Fourre-tout imprimé africain Fourre-tout design Kente audacieux Sac du mois de l'histoire des noirs Sac à motif Kente,5.0,45,21.1,35.0,32.46
1364345239,https://www.etsy.com/fr/listing/1364345239/tote-bag-avec-texte-personnalise-ideal,Tote Bag avec Texte Personnalisé - Idéal pour Cadeaux !,5.0,370,,,
588253830,https://www.etsy.com/fr/listing/588253830/tote-bag-allez-tous-vous-faire-aimer,"Tote bag ""Allez tous vous faire aimer"" plusieurs modèles au choix Moutarde/Bordeaux/Turquoise/Bleu pétrole/écru/noir....",5.0,287,,,
1713081311,https://www.etsy.com/fr/listing/1713081311/maxi-tote-bag-en-coton-double,Maxi tote bag en coton doublé personnalisable – Grand sac porté épaule 38x42 cm – Plusieurs coloris disponibles,5.0,9000,17.5,30.0,25.0
4317172360,https://www.etsy.com/fr/listing/4317172360/mignon-or-vintage-floral-imprime-abeille,"Mignon or vintage floral imprimé abeille Cottagecore sac fourre-tout cadeau pour elle, boho rustique botanique insecte réutilisable épicerie Nature sac fourre-tout",4.8,195,16.4,25.0,21.86
4297301134,https://www.etsy.com/fr/listing/4297301134/tote-bag-personnalise-enseigner-cest,tote bag personnalisé enseigner c'est changer une vie cadeau maitresse cadeau nounou cadeau atsem super maitresse super maitresse,4.9,1100,,,
1755060473,https://www.etsy.com/fr/listing/1755060473/grands-sacs-fourre-tout-en-toile-de,"Grands sacs fourre-tout en toile de coton Sacs fourre-tout en coton naturel de qualité supérieure - Respectueux de l'environnement, idéaux pour l'impression et la décoration",4.9,1300,6.05,30.0,8.65
1818893501,https://www.etsy.com/fr/listing/1818893501/sac-fourre-tout-drole-de-poulet-de-noel,"Sac fourre-tout drôle de poulet de Noël, poulets de vacances avec le sac de chapeaux de père Noël et de lumières, sac cadeau de Noël, sac de vacances de Noël, sac fourre-tout cadeau",4.8,1300,10.82,75.0,43.28
4373936146,https://www.etsy.com/fr/listing/4373936146/sac-fourre-tout-decole-brode,Sac fourre-tout d'école brodé personnalisé avec fermeture à glissière-Sac fourre-tout en velours côtelé personnalisé-sac de travail-Sac fourre-tout essentiel en velours côtelé à fleurs259-2,5.0,83,10.42,50.0,20.83
1754657704,https://www.etsy.com/fr/listing/1754657704/sacs-fourre-tout-personnalises-sac,Sacs fourre-tout personnalisés Sac fourre-tout brodé Cadeau de demoiselle d'honneur Sac de plage Sac monogramme Sac fourre-tout en toile Sac de demoiselle d'honneur 24072701,4.8,2800,10.71,50.0,21.42
1656258963,https://www.etsy.com/fr/listing/1656258963/grand-sac-fourre-tout-en-toile,Grand sac fourre-tout en toile personnalisé avec logo - Sac à provisions en coton personnalisé - Cabas promotionnel réutilisable imprimé - Vente en gros,4.9,1600,14.42,25.0,19.22
4404164479,https://www.etsy.com/fr/listing/4404164479/cabas-en-velours-cotele-brode,"Cabas en velours côtelé brodé personnalisé, sac fourre-tout avec nom personnalisé, sac fourre-tout en velours côtelé, cadeau de demoiselle d'honneur, cadeau de Noël pour elle",4.8,88,6.19,48.0,11.89
4392385257,https://www.etsy.com/fr/listing/4392385257/sac-cabas-en-velours-cotele-personnalise,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau pour les fêtes, cadeau d'anniversaire, cadeau de demoiselle d'honneur, sac week-end, cadeau pour elle",4.9,3900,10.68,45.0,19.42
1892333542,https://www.etsy.com/fr/listing/1892333542/fourre-tout-en-toile-personnalise-nom,"Fourre-tout en toile personnalisé, nom brodé personnalisé, cadeau de demoiselle d'honneur, ruban gratuit inclus, sac fourre-tout personnalisé élégant et durable",4.9,2800,11.52,60.0,28.81
1892866809,https://www.etsy.com/fr/listing/1892866809/tote-bag-collegue-personnalise-cadeau,"tote bag collègue personnalisé Cadeau collègue, tote bag collègue de travail, cadeau de départ collègue sac cabas personnalisé collègue",4.8,147,,,
1093290162,https://www.etsy.com/fr/listing/1093290162/tote-bag-femme-lettre-florale,"Tote Bag Femme Lettre Florale Personnalisé en coton, Sac toile Cabas, Sac fourre-tout, Tote bag graphique",4.9,4900,10.96,15.0,12.9
1716154949,https://www.etsy.com/fr/listing/1716154949/sac-fourre-tout-boheme-a-fleurs-brodees,"Sac fourre-tout bohème à fleurs brodées en marguerite beige naturel vert sauge | Motif lavande avec fermeture à glissière, cadeau parfait pour sa rentrée scolaire",5.0,6400,28.13,30.0,40.19
1817076445,https://www.etsy.com/fr/listing/1817076445/sac-fourre-tout-personnalisesac-fourre,Sac fourre-tout personnalisé/sac fourre-tout dessin au trait/tote bag personnalisé/ sac cabas personnalisé cabas/sac tissus personnalisé,5.0,52,,,
1038634813,https://www.etsy.com/fr/listing/1038634813/storyteller-tote-bag-future-author-gift,"Storyteller Tote Bag, Future Author Gift, New Writer, Best Selling Author, Writer Birthday gift, Gifts for Writers, Personalized Tote Bag",4.9,4400,15.45,10.0,17.16
1813865754,https://www.etsy.com/fr/listing/1813865754/sac-en-cuir-sacs-a-main-pour-femme-sac-a,"Sac en cuir, Sacs à main pour femme Sac à bandoulière souple Daniela",4.9,2800,180.0,25.0,240.0
4332633505,https://www.etsy.com/fr/listing/4332633505/sac-fourre-tout-en-coton-a-fleurs-et,"Sac fourre-tout en coton à fleurs et couleurs mélangées CPC, sac bohème réutilisable de 15 x 16 po. imprimé à la main pour femme | Épicerie, marché, temple, église, ordinateur portable",4.8,410,40.48,26.0,54.7
1273297914,https://www.etsy.com/fr/listing/1273297914/sac-cabas-o-grand-sac-cabas-o-sac,"Sac cabas | Grand sac cabas | sac personnalisé | cadeau femme ,idée cadeau, sac personnalisé original | nounou | atsem | mamie | maman",4.9,3500,,,
1741718472,https://www.etsy.com/fr/listing/1741718472/sac-fourre-tout-personnalise-fleurs,"Sac fourre-tout personnalisé fleurs sauvages, fourre-tout cadeau personnalisé, sac fourre-tout cadeau d'anniversaire, sac fourre-tout fleuri mignon, sac fourre-tout de demoiselle d'honneur, sac fourre-tout cadeau mignon",4.8,1300,10.82,75.0,43.28
1894302627,https://www.etsy.com/fr/listing/1894302627/sac-fourre-tout-personnalise-en-toile-de,"Sac fourre-tout personnalisé en toile de jute, sac fourre-tout papillon, sac en jute avec nom personnalisé, cadeau de demoiselle d'honneur, cadeau d'anniversaire pour elle, cadeau de mariage, fête des mères",4.7,273,3.62,50.0,7.25
1745966552,https://www.etsy.com/fr/listing/1745966552/sacs-de-plage-personnalises-sacs-cadeaux,"Sacs de plage personnalisés, sacs cadeaux de demoiselle d'honneur et écharpe monogramme, sacs de demoiselle d'honneur personnalisés, sacs-cadeaux cabas en toile de jute pour elle",4.9,3100,7.0,30.0,10.0
4363447940,https://www.etsy.com/fr/listing/4363447940/sac-fourre-tout-personnalise-cadeau-de,"Sac fourre-tout personnalisé, cadeau de demoiselle d'honneur, sacs à main de plage, sac fourre-tout en toile brodée, fourre-tout texte personnalisé, cadeaux EVJF, cartable, cadeau pour elle",4.8,2300,1.15,37.0,1.82
4402869416,https://www.etsy.com/fr/listing/4402869416/cabas-personnalise-en-velours-cotele,"Cabas personnalisé en velours côtelé brodé, sac fourre-tout personnalisé, cadeau de demoiselle d'honneur, cadeau pour elle, sac de voyage, cadeau bachelorette, cadeau de Noël",4.8,1300,5.9,40.0,9.84
1570277456,https://www.etsy.com/fr/listing/1570277456/fourre-tout-floral-delight-o-design-noir,"fourre-tout Floral Delight | Design noir et beige élégant avec fleurs violettes | Parfait pour le travail, l'école, le chic de tous les jours | Cadeau pour elle",5.0,6400,22.72,30.0,32.46
1404609688,https://www.etsy.com/fr/listing/1404609688/tote-stuff-personnalise-sac-a-provisions,TOTE STUFF PERSONNALISÉ - Sac à provisions personnalisé | fourre-tout en toile | Cabas en coton | Sac personnalisé | Ajoutez votre texte | Cadeau personnalisé,4.9,18100,,,
4331950210,https://www.etsy.com/fr/listing/4331950210/sac-cadeau-fourre-tout-personnalise-sacs,"Sac cadeau fourre-tout personnalisé, sacs de plage personnalisés, sac de demoiselle d'honneur, sac cadeau de mariage, sac EVJF, cadeau sac en toile de jute, cadeau nuptiale",4.8,124,1.67,70.0,5.55
1678239507,https://www.etsy.com/fr/listing/1678239507/tote-bag-crow-forestcore-aesthetic-boho,Tote Bag Crow Forestcore Aesthetic | Boho Cottagecore Accessory William Morris Inspired Handbag Satchel Fairycore Gift for Bestfriend |,4.9,8100,42.94,30.0,61.36
4301084313,https://www.etsy.com/fr/listing/4301084313/mini-sac-fourre-tout-brode-personnalise,Mini sac fourre-tout brodé personnalisé (PRÉCOMMANDE EXPÉDITION LE 28 OCTOBRE),5.0,14,,,
1861990314,https://www.etsy.com/fr/listing/1861990314/sac-en-jute-personnalise-le-petit-bazar,"Sac en jute personnalisé ""Le Petit Bazar de Mamie Chérie""- Cadeau mamie personnalisé, anniversaires mamie, Sac mamie, fête grands mères",4.8,1300,16.0,20.0,20.0
1882058449,https://www.etsy.com/fr/listing/1882058449/sac-fourre-tout-wayward-herd-design,"Sac fourre-tout Wayward Herd : design artistique original, sac en toile respectueux de l'environnement",4.9,1200,22.66,50.0,45.32
1732972513,https://www.etsy.com/fr/listing/1732972513/sac-fourre-tout-fourth-wing-sac-en-toile,"Sac fourre-tout Fourth Wing, sac en toile Basgiath War College, cavalier de dragon, sac fourre-tout livresques\ quadrant cavaliers, lecteur de fantaisie",4.8,1300,7.23,75.0,28.94
1843456488,https://www.etsy.com/fr/listing/1843456488/tote-bag-personnalise-modele-cheval-tote,"Tote bag personnalisé, modèle cheval , tote bag BOHO , sac en toile personnalisable",4.9,1300,,,
1645475828,https://www.etsy.com/fr/listing/1645475828/tote-bag-avec-initiales-brodees-cabas,Tote bag avec initiales brodées : cabas personnalisé en toile de coton bio,4.8,30500,16.97,25.0,22.63
1796452035,https://www.etsy.com/fr/listing/1796452035/sac-fourre-tout-en-toile-brode,Sac fourre-tout en toile brodé personnalisé : sac cabas avec logo personnalisé,4.8,2800,7.56,50.0,15.13
4319311950,https://www.etsy.com/fr/listing/4319311950/sac-fourre-tout-avec-logo,Sac fourre-tout avec LOGO personnalisé/Sac fourre-tout en toile personnalisé/Sac fourre-tout avec nom/Sac cadeau de demoiselle d'honneur/Broderie avec initiales brodées/Cadeau personnalisé,4.7,2400,7.56,70.0,25.21
1718345570,https://www.etsy.com/fr/listing/1718345570/cabas-oversize-brode-en-coton-bio-sac,Cabas oversize brodé en coton bio : sac week-end personnalisé,4.8,30500,20.1,25.0,26.8
1727876879,https://www.etsy.com/fr/listing/1727876879/sac-cabas-xxl-personnalise-en-coton,"Sac cabas XXL personnalisé en coton - Grand sac de plage, idée cadeau original fête des mères",5.0,214,23.92,20.0,29.9
1869894951,https://www.etsy.com/fr/listing/1869894951/cabas-fleuri-mamiesac-cabas-tote-bag,Cabas fleuri Mamie/sac cabas/ tote bag /cabas jute mamie/personnalisable/cabas fête des grands mères/cabas fête des mamie/le jardin de mamie,4.9,1100,,,
1256784960,https://www.etsy.com/fr/listing/1256784960/sac-fourre-tout-en-toile-a-fleurs,"Sac fourre-tout en toile à fleurs brodées, grand sac à main avec fermeture à glissière, cadeau d'anniversaire pour elle",4.9,446,69.72,25.0,92.96
1574067774,https://www.etsy.com/fr/listing/1574067774/sac-fourre-tout-magique-livre-lapins,"Sac fourre-tout magique livre lapins - Cottagecore, sac fourre-tout mignon, lapins mignons, lapins rigolos, noyau de lapin, sac fourre-tout lapin, animal mignon fourre-tout",5.0,290,17.57,35.0,27.04
1882984727,https://www.etsy.com/fr/listing/1882984727/funny-tote-bag-drama-funny-tote-bag,"Funny Tote Bag, Drama Funny Tote Bag, Graphic Tote Bags, Weird Crazy Design, Cute Tote Bag, Funny Tote Bag for Friend",5.0,36,,,
4392372136,https://www.etsy.com/fr/listing/4392372136/sac-cabas-en-velours-cotele-personnalise,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau pour les fêtes, cadeau d'anniversaire, cadeau pour une demoiselle d'honneur, sac de tous les jours, cadeau pour elle",4.9,3900,10.68,45.0,19.42
1059696359,https://www.etsy.com/fr/listing/1059696359/sac-cabas-en-velours-cotele-interieur,"Sac cabas en velours côtelé intérieur fleuri avec poche et fermeture/ velvet tote bag, made in France",5.0,413,,,
1604657241,https://www.etsy.com/fr/listing/1604657241/sac-de-plage-personnalise-raye-en-coton,"Sac de plage personnalisé rayé en coton - Fête des mères, cadeau pour elle, cadeau pour maman, sac pour les vacances",5.0,214,20.0,20.0,25.0
4352195026,https://www.etsy.com/fr/listing/4352195026/sac-cabas-en-toile-personnalise-sac,"Sac cabas en toile personnalisé, sac cabas brodé, cadeau de mariage, cadeau d'anniversaire, cadeau de Noël, cadeau de demoiselle d'honneur, sac monogramme, cadeau pour elle",4.9,3900,15.09,45.0,27.44
1836512209,https://www.etsy.com/fr/listing/1836512209/cabas-personnalise-mamietote-bag-super,Cabas personnalisé mamie/tote bag super mamie poule et ses poussins /sac cabas mamie/sac mamie/cadeau noël mamie/fête des mamies/noël,4.8,147,,,
1866128863,https://www.etsy.com/fr/listing/1866128863/sac-fourre-tout-en-toile-de-coton-just-a,Sac fourre-tout en toile de coton Just a Girl Who Loves Books Cadeau pour amoureux des livres Sac à slogan amusant Design rétro vintage,4.8,1100,18.58,25.0,24.77
4350797686,https://www.etsy.com/fr/listing/4350797686/sac-cabas-matelasse-kantha-fait-main-sac,Sac cabas matelassé Kantha fait main : sac cabas réversible en velours et coton,4.9,36,49.51,20.0,61.89
4379104299,https://www.etsy.com/fr/listing/4379104299/sac-fourre-tout-chat-orange-brode-sac-a,Sac fourre-tout chat orange brodé : sac à bandoulière chaton en coton bio,5.0,78,35.7,25.0,47.6
4375382430,https://www.etsy.com/fr/listing/4375382430/sac-fourre-tout-design-original-par,"Sac fourre-tout, design original par Nadine A.S. Sac à dos pour le shopping, la plage, les cadeaux, les pique-niques, les indispensables artistiques",5.0,25,,,
1338256304,https://www.etsy.com/fr/listing/1338256304/sac-fourre-tout-brode-en-velours-cotele,"Sac fourre-tout brodé en velours côtelé à fleurs, Sac à lunch personnalisé avec nom, Jolie trousse de maquillage et de cosmétiques, Cadeau de toilette de voyage esthétique pour elle",4.9,4900,3.04,25.0,4.05
4325536427,https://www.etsy.com/fr/listing/4325536427/fourre-tout-en-velours-cotele-de-qualite,"fourre-tout en velours côtelé de qualité supérieure | Marron gingembre bleu marine | Sac à bandoulière de tous les jours avec porte-bouteille, poche à fermeture éclair, bouton-pression magnétique | Retour à l'école",5.0,6400,28.13,30.0,40.19
1501388484,https://www.etsy.com/fr/listing/1501388484/sac-fourre-tout-surdimensionne-en-toile,"Sac fourre-tout surdimensionné en toile avec texte personnalisé : grand sac cabas, sac de week-end, fourre-tout",5.0,1100,43.12,10.0,47.91
1771687444,https://www.etsy.com/fr/listing/1771687444/cabas-personnalise-en-coton-sac-coton,"Cabas Personnalisé en coton, Sac coton , Sac fourre-tout, Sac prénom",4.9,4900,12.66,15.0,14.9
1833132301,https://www.etsy.com/fr/listing/1833132301/sac-fourre-tout-en-toile-soleil-celeste,Sac fourre-tout en toile Soleil céleste et lune : design astrologie cosmique,4.8,479,5.26,55.0,11.69
